Nom;Luminosité;Difficulté;Température;Arrosage;Allergène animaux;Type;Description;Photo;emplacement;Budget
Maranta;Moyen;Moyen;18-25°C;Tous les 7 à 12 jours;Non;Tropicale;la plante qui prie. Oui, ses feuilles se replient le soir. Elle fait sa méditation, laisse-la tranquille.;https://www.studioplant.com/media/wysiwyg/Maranta_-_270323_-_1_3.jpg;Interieur;15
Anthurium;Moyen;Moyen;18-28°C;Tous les 3 à 6 jours;Oui;Fleurie;le lover tropical. Rouge passion, brillance de star et entretien de diva. À manipuler avec admiration.;https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Starr_080103-1397_Anthurium_andraeanum.jpg/960px-Starr_080103-1397_Anthurium_andraeanum.jpg;Exterieur;10
Figuier à feuilles de violon;Moyen;Moyen;18-28°C;Tous les 7 à 12 jours;Oui;Plante d’intérieur;quelqu'un de grand, de beau, et de capricieux. Le mannequin des plantes d’intérieur. Il a besoin de lumière, pas d’amour.;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS9raCntoI9M2lIgV2Z1dcAvvm6VxTtSTJFdCaJ7l1fGUnovhhe30ipFZ8OxoRztpkYVhYww2xeLzdJqEZ-cvO99Pn4ifjxL9icayZ9JiB2;Interieur;15
Pilea;Moyen;Facile;16-25°C;Tous les 7 à 12 jours;Non;Plante d’intérieur;la plante des potes. Elle fait des bébés à la pelle, parfaite pour ceux qui aiment partager… ou revendre.;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Pilea_peperomioides_02.jpg/500px-Pilea_peperomioides_02.jpg;Interieur;15
Haworthia;Moyen;Facile;16-28°C;Toutes les 2 à 3 semaines;Non;Succulente;le cactus qui a décidé d’être mignon. Peu d’eau, beaucoup de patience et un air faussement sage.;https://www.rustica.fr/images/haworthia-bios-961897.jpg;Interieur;10
Soleirolia;Moyen;Facile;18-24°C;Tous les 3 à 6 jours;Non;Plante retombante;la mini jungle moelleuse. Elle s’étale, s’invite partout, et a clairement des ambitions immobilières.;https://m.media-amazon.com/images/I/81+jKPkBe+S._AC_UF1000,1000_QL80_.jpg;Interieur;15
Tradescantia;Moyen;Facile;18-26°C;Tous les 7 à 12 jours;Oui;Plante grimpante;la rockstar violette. Elle pousse vite, penche, casse, repousse. Impossible à dompter, mais irrésistible.;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Tradescantia.jpg/560px-Tradescantia.jpg;Exterieur;15
Spathoglottis;Moyen;Moyen;18-28°C;Tous les 7 à 12 jours;Non;Fleurie;l’orchidée de la team chill. Elle fleurit tranquille, sans exigence, avec un air de “je gère”.;https://tohgarden.com/wp-content/uploads/2023/12/Spathoglottis-Pink-1.png;Exterieur;20
Fatsia japonica;Moyen;Moyen;16-25°C;Tous les 7 à 12 jours;Non;Plante d’intérieur;le costaud du coin. Feuilles larges, attitude zen. Il supporte tout, sauf la discrétion.;https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Fatsia_japonica.003_-_Zapateira.jpg/960px-Fatsia_japonica.003_-_Zapateira.jpg;Interieur;20
Nephrolepis;Moyen;Facile;18-25°C;Tous les 3 à 6 jours;Non;Fougère;la fougère marathonienne. Elle demande un peu d’humidité et beaucoup d’espace personnel.;https://florastore.com/cdn/shop/files/3137001_Productimage_01_SQ.jpg?v=1758704949&width=1080;Interieur;10
Calceolaria;Moyen;Moyen;18-24°C;Tous les 7 à 12 jours;Non;Fleurie;la plante qui fait des fleurs comme des chaussons. Originale, drôle et un peu incomprise.;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Calceolaria_fleurs.jpg/560px-Calceolaria_fleurs.jpg;Exterieur;15
Hedera helix;Moyen;Facile;16-25°C;Tous les 7 à 12 jours;Oui;Plante grimpante;le lierre éternel. Fidèle, envahissant et impossible à ignorer. Il s’accroche, littéralement. (toxique);https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/%28MHNT%29_Hedera_helix_-_immature_inflorescences.jpg/960px-%28MHNT%29_Hedera_helix_-_immature_inflorescences.jpg;Exterieur;15
Syngonium podophyllum;Moyen;Moyen;18-26°C;Tous les 7 à 12 jours;Oui;Plante grimpante;le caméléon des plantes. Feuilles qui changent, humeur stable. Il grimpe doucement jusqu’à ton cœur. (toxique);https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Starr-180421-0790-Syngonium_podophyllum-leaves-Honolua_Lipoa_Point-Maui_%2843459251981%29.jpg/960px-Starr-180421-0790-Syngonium_podophyllum-leaves-Honolua_Lipoa_Point-Maui_%2843459251981%29.jpg;Exterieur;15
Dieffenbachia seguine;Moyen;Moyen;18-26°C;Tous les 7 à 12 jours;Oui;Tropicale;une personne jolie mais toxique. La version végétale du “ne te fie pas aux apparences”.;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Starr_061212-2331_Dieffenbachia_seguine.jpg/960px-Starr_061212-2331_Dieffenbachia_seguine.jpg;Interieur;15
Homalomena;Moyen;Facile;18-25°C;Tous les 7 à 12 jours;Oui;Tropicale;l’amie silencieuse. Feuilles vert profond, zéro drame, juste de la bonne énergie. (toxique);https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Homalomena_rubescens_%28Philippines%29_01.jpg/960px-Homalomena_rubescens_%28Philippines%29_01.jpg;Interieur;15
Aspidistra elatior;Faible;Facile;15-25°C;Toutes les 4 à 6 semaines;Non;Plante d’intérieur;la plante des fainéants élégants. Elle survit à tout, sauf à l’attention excessive.;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Aspidistra_elatior.jpg/960px-Aspidistra_elatior.jpg;Interieur;15
Plectranthus;Moyen;Facile;18-26°C;Tous les 7 à 12 jours;Non;Plante aromatique;l’oubliée qui sent bon. Feuilles douces, parfum mentholé, et toujours partante pour un coin lumineux.;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRgtPJ0LGmLeUPPX0aacBx5iQ4ewBwA8v-8KFFOd4-3LUxS3KsUUFIpx04AtuD-6JWjzUcMRCFp-VQB9c7clxddcBV2_Clu2X3H4gY9jNAO2g;Interieur;15
Kalanchoe blossfeldiana;Fort;Facile;18-30°C;Toutes les 2 à 3 semaines;Oui;Succulente;la pile électrique de ta maison. Elle balance des fleurs colorées sans prévenir. (toxique);https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/2007-03-20Kalanchoe_blossfeldiana13.jpg/560px-2007-03-20Kalanchoe_blossfeldiana13.jpg;Interieur;15
Clivia miniata;Moyen;Moyen;18-28°C;Tous les 7 à 12 jours;Oui;Fleurie;l’aristo discrète. Feuilles nobles, fleurs éclatantes, patience légendaire. (toxique);https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Clivia_miniata2.jpg/500px-Clivia_miniata2.jpg;Exterieur;15
Zebrina pendula;Moyen;Facile;18-26°C;Tous les 7 à 12 jours;Non;Plante retombante;la rebelle rayée. Elle cascade dans tous les sens et adore provoquer un peu de chaos chromatique.;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQbUIvuUqf7wb-I56xc8arn_6ookLkorjig_lJWKx3lQUSTFIDIrr8szAftkiOSnkiopHDXHLZbH-jAdEE65UADxNn5A-_8nnDJDlTZG0m9;Exterieur;5
Fittonia verschaffeltii;Moyen;Moyen;18-24°C;Tous les 3 à 6 jours;Non;Tropicale;la drama queen miniature. Si tu oublies de l’arroser, elle s’évanouit. Puis revient, juste pour le spectacle.;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTP807DNcIgwb4V-jHCZk-skzwCzOM-sij5710eKMBi5LrrkL68Sv7dkyg1GriJmmpYqkYWZuiAhMaQHFFQY_h9cb1jfP_XWC-xuJsB94Gd;Interieur;5
Begonia maculata;Moyen;Moyen;18-24°C;Tous les 7 à 12 jours;Non;Fleurie;la fashionista à pois. Elle ne passe pas inaperçue, et elle le sait très bien.;https://www.willemsefrance.fr/cdn/shop/files/ADO_31524_1_BK_1704881888244_1800x.jpg?v=1704881967;Exterieur;5
Peperomia caperata;Moyen;Facile;18-25°C;Tous les 7 à 12 jours;Non;Succulente;une plante petite, texturée et bourrée de caractère. Elle aime l’ombre et déteste qu’on l’étouffe.;https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Peperomia_caperata_1-OB9.jpg/960px-Peperomia_caperata_1-OB9.jpg;Interieur;15
Hoya carnosa;Moyen;Facile;18-28°C;Toutes les 2 à 3 semaines;Non;Plante grimpante;la plante bijou. Elle pousse lentement, fleurit quand elle veut et sent divinement bon.;https://i.ebayimg.com/images/g/oQoAAOSwDfpkt7kE/s-l1200.png;Exterieur;10
Alocasia amazonica;Moyen;Moyen;18-26°C;Tous les 3 à 6 jours;Oui;Tropicale;la guerrière tropicale. Feuilles taillées à la machette, regard perçant. Pas pour les amateurs du dimanche. (toxique);https://indoorpoppies.fr/wp-content/uploads/2022/08/alocasia-amazonica-polly.png;Interieur;15
Codiaeum variegatum;Moyen;Moyen;18-26°C;Tous les 3 à 6 jours;Oui;Tropicale;le Croton des feux d’artifice. Plus il a de lumière, plus il s’enflamme. (toxique);https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Colpfl05.jpg/960px-Colpfl05.jpg;Interieur;15
Dracaena marginata;Moyen;Facile;18-28°C;Tous les 7 à 12 jours;Oui;Tropicale;le punk du bureau. Feuilles effilées, look rebelle, entretien minimal. (toxique);https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Dracaena_marginata_IndoorPlant_0605k.jpg/500px-Dracaena_marginata_IndoorPlant_0605k.jpg;Interieur;15
Ficus benjamina;Moyen;Moyen;18-28°C;Tous les 7 à 12 jours;Oui;Plante d’intérieur;le vieux sage grincheux. Il perd ses feuilles pour un rien, mais reste indémodable. (toxique);https://www.deco.fr/sites/default/files/styles/1200x675/public/2019-07/shutterstock_1318040159.jpg;Interieur;20
Ficus elastica 'Robusta';Moyen;Facile;18-28°C;Tous les 7 à 12 jours;Oui;Plante d’intérieur;le costaud classe. Feuilles brillantes, tronc fier, peu d’entretien. Un classique du bon goût. (toxique);https://webshop.plnts.com/media/catalog/product/cache/aa5d334f459227518b6c3cf7ea9d29ed/p/l/pl.xl.019-2-0406.jpg;Interieur;15
Philodendron hederaceum;Faible;Facile;16-28°C;Tous les 7 à 12 jours;Oui;Plante grimpante;le lover du macramé. Il grimpe, s’enroule et te suit dans toutes les pièces. (toxique);https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Philodendron_hederaceum_kz01.jpg/960px-Philodendron_hederaceum_kz01.jpg;Exterieur;15
Philodendron brasil;Moyen;Facile;18-28°C;Tous les 7 à 12 jours;Oui;Plante grimpante;la version tropicale du Philodendron hederaceum, plus flashy, plus fun. Il aime se faire remarquer. (toxique);https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcS9N5gLHHo7wvLc1etTICwIPMPlQE-Ubf2ISkHcnVZcE4mZDrTVvoVV-p0qqHxaXoa-rLM3_0yNa1IHyGCHYGzvkxDvTXGwdC77CX7-LOPL;Exterieur;20
Asplenium nidus;Moyen;Facile;18-26°C;Tous les 3 à 6 jours;Non;Fougère;le nid de verdure. Ses feuilles ondulées captent la lumière et ton attention.;https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Asplenium_nidus_003.jpg/960px-Asplenium_nidus_003.jpg;Interieur;25
Neoregelia;Moyen;Moyen;18-26°C;Tous les 3 à 6 jours;Non;Tropicale;la plante disco. Centre coloré, feuilles rayées, ambiance tropicale garantie.;https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Neoregelia_compacta.jpg/960px-Neoregelia_compacta.jpg;Interieur;15
Cryptanthus;Moyen;Facile;18-25°C;Tous les 3 à 6 jours;Non;Tropicale;la petite étoile du sol. Compacte, graphique et toujours prête pour un shooting photo.;https://littleprinceplants.com/wp-content/uploads/2023/07/Cryptanthus-Ruby-Red-Earth-Stars-Zoomed.jpg.webp;Interieur;15
Syngonium podophyllum 'Albo';Moyen;Facile;18-26°C;Tous les 7 à 12 jours;Oui;Plante grimpante;le hipster de la bande. Demi-blanc, demi-vert, 100 % stylé. (toxique);https://www.hanko-jungle.com/wp-content/uploads/2021/07/XIV-scaled.jpg;Exterieur;15
Calathea orbifolia;Moyen;Moyen;18-26°C;Tous les 3 à 6 jours;Non;Tropicale;la spa addict. Feuilles rondes, zen attitude, aime l’humidité et la sérénité.;https://www.thespruce.com/thmb/DizsBW_GJ0-8NE8FI-qg2UPYfiw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/calathea-orbifolia-growing-guide-5270824-hero-2a3b8667f05b40a49b27da573d2486fb.jpg;Interieur;25
Epipremnum aureum 'Neon';Moyen;Facile;16-28°C;Tous les 7 à 12 jours;Oui;Plante grimpante;la même plante (Epipremnum aureum), mais plus flashy. La version néon du classique, pour ceux qui aiment que ça brille.;https://www.myjunglehome.com.au/cdn/shop/products/pothos-neon-epipremnum-aureum-20cm-pot-my-jungle-home-428774_900x.jpg?v=1633006537;Exterieur;15
Ficus pumila;Moyen;Facile;16-25°C;Tous les 7 à 12 jours;Oui;Plante grimpante;le discret qui colonise tout. Il grimpe, s’accroche et finit par tout recouvrir sans prévenir. (toxique);https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSKxHB80bjRXTwoPSCpP1ctrXWL4XiuGV1kochCMDVyFBcH2yK2DB_xDMqrtaERCQX8PQyJnEcS45O_R3Q1yM7hr7aVnWr0WYv4Vxl1GrAK;Exterieur;15
Tillandsia ionantha;Faible;Facile;18-28°C;Toutes les 2 à 3 semaines;Non;Plante aérienne;l’extraterrestre des plantes. Elle pousse sans terre, juste avec l’air et beaucoup d’assurance.;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcS8dfHn8SN18SBVtvdkKeL-xmdfvBYXE-cEdnEtKdrPQ0AiJr-pvqBXzbvAbG_V-JOfA1Uc7mZjfrKcCDwsy7ZB3VCZnhHrjfDy3c33Oax5_g;Interieur;15
Nephthytis;Moyen;Facile;18-26°C;Tous les 3 à 6 jours;Oui;Tropicale;le chill en pot. Pas exigeante, juste contente d’être là. (toxique);https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQYTgBfXlkSO30TdwjfyElO-QpwVRNOX0cGuwDkyoMS5r9GcAS1eihWqaNvdrjnFTTDpwTvRW3JJR7EX0IPTeyjHvo0LPgS-uyFSdGbRMM1;Interieur;15
Syngonium 'Pink Splash';Moyen;Facile;18-26°C;Tous les 7 à 12 jours;Oui;Plante grimpante;lla touche de rose dont tu avais besoin. Il égaye les coins gris sans trop d’efforts. (toxique);https://webshop.plnts.com/media/catalog/product/cache/aa5d334f459227518b6c3cf7ea9d29ed/p/l/pl.m.075-1-0106.jpg;Exterieur;25
Calathea lancifolia;Moyen;Moyen;18-26°C;Tous les 3 à 6 jours;Non;Tropicale;quelqu'un qui a des feuilles léopard et une attitude féline. La jungle version haute couture.;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcT8sV6HQfF7N1ZBLUwGZ4VjWEwelKRUc9c9Eu_8Q45w009BPZo9dGAjtxHx1rtu6UJRKF7bsSg08gaKOftvejYbU_VBrV9nopRIevc9anvU;Interieur;15
Peperomia obtusifolia;Moyen;Facile;18-28°C;Tous les 7 à 12 jours;Non;Succulente;l’ami rond et fiable. Peu de drame, beaucoup de charme.;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJxZ5RWtSmhXHIS8W93LUPX8dVu7f8IZEd1w6Z8-Eh1EI9XxzO2xFotS_fHekdZQUm2WOYrLxR2FY7IkeuOtQfKE3RnO1OVPZFXFkcUiVj;Interieur;15
Hoya kerrii;Moyen;Facile;18-28°C;Toutes les 2 à 3 semaines;Non;Plante grimpante;le cœur vert. Littéralement. À offrir, à garder, à aimer sans modération.;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTM4gCEdhOtVwYmMKQh9GCR5aZp_UEgpGOWREp-Nwh8mlqsAlSeew9tdrydQxxLEM7wFzGblKCVNiRZDgzBLtfAjGC-rY1MeyeJHHU9vqrZTw;Exterieur;25
Ceropegia woodii;Moyen;Facile;16-28°C;Toutes les 2 à 3 semaines;Non;Plante grimpante;la chaîne des cœurs. Délicate, tombante, irrésistible — comme une chanson d’amour en pot.;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSfeK0sfm8R9-jRG6A7_oJwucwAbwXJ1R4AhLbkJhxdpdkM_7x3goFkxQk4cS6OJxIVoZwGQs1qQmpArwfNUGfLIkQ4MAYEGjXniLd-pTcC;Exterieur;15
Scindapsus pictus;Moyen;Facile;18-28°C;Tous les 7 à 12 jours;Oui;Plante grimpante;le lierre pailleté. Il brille doucement et s’accroche avec style. (toxique);https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR06tGXlhj0jYomRklIDF3v2fAYGNvNAwWsZ2vZX6bxxXRNUveNCNnB6GPhVdWhU7mNa52_nnRMPz6zHEVm0BUA-Ah49-ezaAn1lUzRw236;Exterieur;30
Aspidistra elatior 'Variegata';Faible;Facile;16-25°C;Toutes les 2 à 3 semaines;Non;Plante d’intérieur;la version haute couture de la plante increvable (Aspidistra elatior). Même solidité, plus de panache.;https://welovetropicalplants.com/cdn/shop/files/Aspidistraelatiorvariegata22.10_2_8eab40c3-e358-42b0-b905-ae13b1fdc779.jpg?v=1761131700;Interieur;20
Aglaonema commutatum;Faible;Facile;18-26°C;Tous les 7 à 12 jours;Oui;Tropicale;le roi des coins sombres : il vit sa meilleure vie loin des fenêtres et pardonne (presque) tout.;https://photo.floraccess.com/qv0m4m0gpao54rqsnp31992ddfbgpgaegjfnd6in_big.jpg;Interieur;25
Schefflera arboricola;Moyen;Moyen;16-28°C;Tous les 7 à 12 jours;Oui;Plante d’intérieur;le parapluie végétal. Facile, touffu, et toujours prêt pour un selfie feuillu.;https://www.ikea.com/fr/fr/images/products/schefflera-arboricola-plante-naturelle-arbre-ombrelle-tige-tressee__0573928_pe667973_s5.jpg;Interieur;20
Pachira aquatica;Moyen;Facile;18-28°C;Tous les 7 à 12 jours;Non;Plante d’intérieur;l’arbre à argent (on ne promet rien). Tresses stylées, entretien relax.;https://green-bubble.com/cdn/shop/files/pachira-aquatica.jpg?v=1725544711;Interieur;30
Beaucarnea recurvata;Fort;Facile;18-30°C;Toutes les 4 à 6 semaines;Non;Succulente;la queue-de-cheval qui stocke l’eau dans sa “bouteille”. Minimaliste et chic.;https://florastore.com/cdn/shop/files/4811211_Productimage_01_SQ.png?v=1751965567&width=1080;Interieur;30
Saintpaulia ionantha;Moyen;Moyen;18-24°C;Tous les 7 à 12 jours;Non;Fleurie;la violette africaine : petite, fleurie, et un brin diva au moment de l’arrosage.;https://planetdesert.com/cdn/shop/files/Saintpaulia-African-Violet-_vibrant-Purple-with-White-Edge_-4-inch_1_1cd29d2f-2863-4bd6-b44f-45ae51509b83_1400x.jpg?v=1750343287;Interieur;10
Guzmania lingulata;Moyen;Facile;18-26°C;Tous les 7 à 12 jours;Non;Tropicale;le feu d’artifice. Elle boit aussi par sa rosette : pratique et showtime.;https://gabiani.fr/wp-content/uploads/2025/02/guzmania-lingulata-3.jpg;Interieur;20
Aechmea fasciata;Moyen;Facile;18-26°C;Tous les 7 à 12 jours;Non;Tropicale;une plante zébrée, graphique, et presque extraterrestre. Peu d’efforts, maxi effet.;https://www.houseofkojo.com/cdn/shop/products/aechmea-fasciata-aechmea-fasciata--2_720x.jpg?v=1704023775;Interieur;25
Caladium bicolor;Moyen;Moyen;20-28°C;Tous les 3 à 6 jours;Oui;Tropicale;une plante aux feuilles façon aquarelle. Superbe… tant que tu lui donnes chaleur et humidité.;https://ecuagenera.com/cdn/shop/files/Caladium_bicolor_x_Cal._hortulanum.webp?v=1751278162&width=800;Interieur;20
Camellia japonica;Moyen;Moyen;10-20°C;Tous les 7 à 12 jours;Non;Fleurie;la classe en hiver : grosses fleurs, feuillage lustré, thé d’apparat vibes.;https://www.bonsaigalinou.com/52027-large_default/camellia-japonica-1-6.jpg;Exterieur;35
Lavandula angustifolia;Fort;Facile;10-30°C;Toutes les 2 à 3 semaines;Oui;Plante aromatique;le sud en pot. Elle aime le soleil, déteste les pieds mouillés, sent les vacances.;https://mullerseeds.fr/app/uploads/2021/04/50914-1-Lavandula-Blue-Scent-Early-2.jpg;Exterieur;8
Rosmarinus officinalis;Fort;Facile;10-30°C;Tous les 7 à 12 jours;Non;Plante aromatique;le romarin qui supporte la chaleur et relève tes patates comme un chef.;https://photo.floraccess.com/rojjmnpmruuolgjffh7utdqgs0ln7ivia33tjd0i_big.jpg;Exterieur;8
Mentha spicata;Moyen;Facile;12-28°C;Tous les 3 à 6 jours;Non;Plante aromatique;la coloc envahissante mais sympa. Rafraîchissante, et toujours partante pour un mojito.;https://www.hishtil.com/media/20982/mentha-spicata-spanish.jpg?width=700&height=700&mode=crop;Exterieur;6
Thymus vulgaris;Fort;Facile;10-30°C;Tous les 7 à 12 jours;Non;Plante aromatique;un copain petit mais costaud. Il bronze au soleil et parfume tout sur son passage.;https://www.hishtil.com/media/19465/thymus-vulgaris-compactus3-copy.jpg?width=700&height=700&mode=crop;Exterieur;6
