Nom;Luminosité;Difficulté;Température;Arrosage;Allergène animaux;Type;Description;Photo;Catégorie;Humidité préférée;Taille adulte;Vitesse de croissance;Besoin de rempotage;Facilité d’entretien globale;Esthétique;Purifie l’air;Type de croissance
Haworthia;Moyen;Facile;16-28°C;Faible;Non;Succulente;Petite succulente compacte;https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Lassytha_-_Haworthia_attenuata_hybrid-cultivar.jpg/500px-Lassytha_-_Haworthia_attenuata_hybrid-cultivar.jpg;Succulente;Sec;Petite;Lente;Rare;Facile;Feuillage décoratif;Non;Verticale
Soleirolia;Moyen;Facile;18-24°C;Élevée;Non;Plante retombante;Petites feuilles vertes très denses;https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Soleirolia_soleirolii001.JPG/560px-Soleirolia_soleirolii001.JPG;Tropicale;Humide;Petite;Rapide;Occasionnel;Facile;Feuillage décoratif;Non;Retombante
Tradescantia;Moyen;Facile;18-26°C;Moyenne;Oui;Plante grimpante;Feuilles colorées violacées;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Tradescantia.jpg/560px-Tradescantia.jpg;Grimpante;Modéré;Moyenne;Rapide;Occasionnel;Facile;Feuillage décoratif;Oui;Grimpante
Spathoglottis;Moyen;Moyen;18-28°C;Moyenne;Non;Fleurie;Orchidée terrestre à fleurs colorées;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Spathoglottis_affinis_2.jpg/560px-Spathoglottis_affinis_2.jpg;Fleurie;Humide;Moyenne;Moyenne;Occasionnel;Moyen;Fleurie;Non;Verticale
Fatsia japonica;Moyen;Moyen;16-25°C;Moyenne;Non;Plante d’intérieur;Grandes feuilles palmées;https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Fatsia_japonica.003_-_Zapateira.jpg/960px-Fatsia_japonica.003_-_Zapateira.jpg;Tropicale;Modéré;Grande;Moyenne;Occasionnel;Moyen;Feuillage décoratif;Oui;Verticale
Nephrolepis;Moyen;Facile;18-25°C;Élevée;Non;Fougère;Fougère décorative retombante;https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Fatsia_japonica.003_-_Zapateira.jpg/960px-Fatsia_japonica.003_-_Zapateira.jpg;Tropicale;Humide;Moyenne;Rapide;Occasionnel;Facile;Feuillage décoratif;Oui;Retombante
Calceolaria;Moyen;Moyen;18-24°C;Moyenne;Non;Fleurie;Fleurs en forme de pochettes colorées;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Calceolaria_fleurs.jpg/560px-Calceolaria_fleurs.jpg;Fleurie;Modéré;Petite;Moyenne;Occasionnel;Moyen;Fleurie;Non;Verticale
Hedera helix;Moyen;Facile;16-25°C;Moyenne;Oui;Plante grimpante;Lierre classique, toxique pour animaux;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/%28MHNT%29_Hedera_helix_-_immature_inflorescences.jpg/960px-%28MHNT%29_Hedera_helix_-_immature_inflorescences.jpg;Grimpante;Modéré;Moyenne;Rapide;Occasionnel;Facile;Feuillage décoratif;Oui;Grimpante
Syngonium podophyllum;Moyen;Moyen;18-26°C;Moyenne;Oui;Plante grimpante;Feuilles en forme de flèche, toxique;https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Starr-180421-0790-Syngonium_podophyllum-leaves-Honolua_Lipoa_Point-Maui_%2843459251981%29.jpg/960px-Starr-180421-0790-Syngonium_podophyllum-leaves-Honolua_Lipoa_Point-Maui_%2843459251981%29.jpg;Grimpante;Modéré;Moyenne;Rapide;Occasionnel;Moyen;Feuillage décoratif;Oui;Grimpante
Dieffenbachia seguine;Moyen;Moyen;18-26°C;Moyenne;Oui;Tropicale;Feuilles grandes et tachetées, toxique;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Starr_061212-2331_Dieffenbachia_seguine.jpg/960px-Starr_061212-2331_Dieffenbachia_seguine.jpg;Tropicale;Humide;Grande;Rapide;Occasionnel;Moyen;Feuillage décoratif;Oui;Verticale
Homalomena;Moyen;Facile;18-25°C;Moyenne;Oui;Tropicale;Plante feuillue décorative, toxique;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Homalomena_rubescens_%28Philippines%29_01.jpg/960px-Homalomena_rubescens_%28Philippines%29_01.jpg;Tropicale;Humide;Moyenne;Moyenne;Occasionnel;Facile;Feuillage décoratif;Oui;Verticale
Aspidistra elatior;Faible;Facile;15-25°C;Faible;Non;Plante d’intérieur;Plante robuste et résistante;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Aspidistra_elatior.jpg/960px-Aspidistra_elatior.jpg;Tropicale;Modéré;Grande;Lente;Rare;Facile;Feuillage décoratif;Oui;Verticale
Plectranthus;Moyen;Facile;18-26°C;Moyenne;Non;Plante aromatique;Petites feuilles vertes parfumées;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRgtPJ0LGmLeUPPX0aacBx5iQ4ewBwA8v-8KFFOd4-3LUxS3KsUUFIpx04AtuD-6JWjzUcMRCFp-VQB9c7clxddcBV2_Clu2X3H4gY9jNAO2g;Tropicale;Modéré;Petite;Rapide;Occasionnel;Facile;Feuillage décoratif;Non;Verticale
Kalanchoe blossfeldiana;Fort;Facile;18-30°C;Faible;Oui;Succulente;Fleurs colorées, toxique pour animaux;https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/2007-03-20Kalanchoe_blossfeldiana13.jpg/560px-2007-03-20Kalanchoe_blossfeldiana13.jpg;Succulente;Sec;Petite;Rapide;Rare;Facile;Fleurie;Oui;Verticale
Clivia miniata;Moyen;Moyen;18-28°C;Moyenne;Oui;Fleurie;Fleurs oranges, toxique pour chats/chiens;https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Clivia_miniata2.jpg/500px-Clivia_miniata2.jpg;Fleurie;Modéré;Moyenne;Moyenne;Occasionnel;Moyen;Fleurie;Oui;Verticale
Zebrina pendula;Moyen;Facile;18-26°C;Moyenne;Non;Plante retombante;Feuilles panachées violettes;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQbUIvuUqf7wb-I56xc8arn_6ookLkorjig_lJWKx3lQUSTFIDIrr8szAftkiOSnkiopHDXHLZbH-jAdEE65UADxNn5A-_8nnDJDlTZG0m9;Grimpante;Modéré;Petite;Rapide;Occasionnel;Facile;Feuillage décoratif;Non;Retombante
Fittonia verschaffeltii;Moyen;Moyen;18-24°C;Élevée;Non;Tropicale;Feuilles nervurées rouges ou blanches;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTP807DNcIgwb4V-jHCZk-skzwCzOM-sij5710eKMBi5LrrkL68Sv7dkyg1GriJmmpYqkYWZuiAhMaQHFFQY_h9cb1jfP_XWC-xuJsB94Gd;Tropicale;Humide;Petite;Moyenne;Occasionnel;Moyen;Feuillage décoratif;Non;Retombante
Begonia maculata;Moyen;Moyen;18-24°C;Moyenne;Non;Fleurie;Feuilles décoratives, fleurs blanches;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/%28MHNT%29_Begonia_maculata_-_young_leaf.jpg/330px-%28MHNT%29_Begonia_maculata_-_young_leaf.jpg;Fleurie;Modéré;Moyenne;Moyenne;Occasionnel;Moyen;Mix;Non;Verticale
Peperomia caperata;Moyen;Facile;18-25°C;Moyenne;Non;Succulente;Feuilles ondulées, compactes;https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Peperomia_caperata_1-OB9.jpg/960px-Peperomia_caperata_1-OB9.jpg;Succulente;Modéré;Petite;Lente;Rare;Facile;Feuillage décoratif;Non;Verticale
Hoya carnosa;Moyen;Facile;18-28°C;Faible;Non;Plante grimpante;Fleurs parfumées en étoile;https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Hoya_carnosa_17zz.jpg/500px-Hoya_carnosa_17zz.jpg;Grimpante;Modéré;Moyenne;Lente;Rare;Facile;Fleurie;Non;Grimpante
Alocasia amazonica;Moyen;Moyen;18-26°C;Élevée;Oui;Tropicale;Feuilles larges décoratives, toxique;https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Alocasia_x_amazonica_a1.jpg/960px-Alocasia_x_amazonica_a1.jpg;Tropicale;Humide;Moyenne;Rapide;Occasionnel;Moyen;Feuillage décoratif;Oui;Verticale
Codiaeum variegatum;Moyen;Moyen;18-26°C;Élevée;Oui;Tropicale;Feuilles colorées, toxique;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Colpfl05.jpg/960px-Colpfl05.jpg;Tropicale;Humide;Moyenne;Moyenne;Occasionnel;Moyen;Feuillage décoratif;Oui;Verticale
Dracaena marginata;Moyen;Facile;18-28°C;Moyenne;Oui;Tropicale;Feuilles étroites rouges sur les bords, toxique;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Dracaena_marginata_IndoorPlant_0605k.jpg/500px-Dracaena_marginata_IndoorPlant_0605k.jpg;Tropicale;Modéré;Grande;Rapide;Occasionnel;Facile;Feuillage décoratif;Oui;Verticale
Ficus benjamina;Moyen;Moyen;18-28°C;Moyenne;Oui;Plante d’intérieur;Feuilles fines et brillantes, toxique;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Ficus_benjamina2.jpg/500px-Ficus_benjamina2.jpg;Tropicale;Modéré;Grande;Rapide;Occasionnel;Moyen;Feuillage décoratif;Oui;Verticale
Ficus elastica 'Robusta';Moyen;Facile;18-28°C;Moyenne;Oui;Plante d’intérieur;Feuilles larges et brillantes, toxique;"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBwgHBgkIBwgKCgkLDRYPDQwMDRsUFRAWIB0iIiAdHx8kKDQsJCYxJx8fLT0tMTU3Ojo6Iys/RD84QzQ5OjcBCgoKDQwNGg8PGjclHyU3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3N//AABEIAKAAagMBIgACEQEDEQH/xAAcAAEAAgMBAQEAAAAAAAAAAAAABgcDBAUCCAH/xAA7EAABAwMCBAIHBgMJAAAAAAABAAIDBAUREiEGMUFRYXEHExQiMoGRI1KhsdHwJDPBFTRDYmNygpKi/8QAGgEBAAMBAQEAAAAAAAAAAAAAAAMEBQIBBv/EACQRAAMAAgICAgEFAAAAAAAAAAABAgMRBBIhMUFRBSIjMjNh/9oADAMBAAIRAxEAPwC10REM8IiIAiIgCIiAIiIAiIgCIiAIiIAiIgCItOvudJbzF7VMyMPeG5ccBuc7nsOnzXjaS2z1Lfo3EWKnqIqmISQPa9hJGppyNljuFfSW2mdU11RHBC3m555nsO58E7LWxp70bKKF1PpItcb8U9HWTM+/hrQfLfP1wuzYeKbbfDopHStnG5hkZ7wHfbIx45Uc5sdPSZ3WK5W2jtoiKUjCIiAIiIAiLjXmS4087Z4nYphsWs3IPcrmq6rZ1M9no7JIAyeQVb8Z1BmhdI4fFh2O24UvbeGS0dS2bDJWxOII5OwOihfFLtdJLgbaQQfmFn821crRYww02mcfhniKewVhewGSnk/mwZwHeI7Fcm/3mtvdc6prn5IOGRj4Yx2C15NlgqNQLHYzr2+Y/YVSapz134J4S7bM0JdLMWsHxDfPZT70X0ZFwqqlufVxw+rJ5AucQcfIN/FQqCP1MbY2N1zSHfH4AK5+GrULNZ4KQ49cRrmcOrzz+nL5K1xse739Dk5NTr7OoiItMzgiIgCIiAIdwQdweiIgIxxXb209DNUwNwzGHNHIZOPpuorcSJ7TKTvpjP4bqfcTsMnD1wDRkiBzgB/l3/oq6bJrpZYuj4yMd8hZfLhTXj5LmG9+yLStyjy1tKXuHwOBB7Z2WYYkaCMAEBemWyuu1PLRWmnM1S4tOkOAAaHAkknkMKni82kSN6OvwFT+38S0rSNTIczv/wCPL/0Wq4lW3DVfYuC6N8dVV+3XSb+8Oo2a2sxyYHHAIHfqVJrNxrZ7rOIGPkp5XfCKgAB3gCCRla2Gohdd+WVsvanskaIitEAREQBERAF+4PYrXrYZKmllhhqJKd7m4EsYGW/VVbxNZrraPtpnvlbyFSxxw4+PUH97qLLkcelskiFXyWw9jXtcyRoc1ww5p6hVTc6CWxVppajV6sH7GR3KRnn3HVOGuL7jQtaKiR9TDjeOV2SPI8wpVQXqivtxltlwjjno6oespmytGWuA95h8cYIPn2Ve+nIWvTJFNY3sqKOZ38tvxNcWd+Rwvbp5YIpYo5nj1o0zaTgOGc48shSmlt8dvt/EtTBDFC6irpIxNjVKdTg1rATnSADnI3OVD4opKupEMew5ud0a1V3h6vwTLTZmo4JKqchgGkbuceTQu1S1/wDYk9PUUbQZo3hw1jJf4HsOalvBHC0M1O2qrIf4T/BidkGU/fPh27+WFJpuErFMMPt7MeDiP6qWeNTXZHNZYT0diCVlRBHNHnRIwPbnngjK9rzEwRRMjb8LGho8gvSvr0UwiIvQEREAXmRjJY3RyMa9jhhzXDII8l6RAQm+8CxPD57JiKTmaZx913+09PI7eSg4lmt1QyVwkbLTyBxaBhzS0+PVXcopx7Yqess9bcYoy2up4HPa6MbyADOD38FVy4F/KSeMvxRX91vjzUXujpzFNTXCqEkkgbsS0NGR/wBQtChqWW5wk9mgkbq1mKRvuux97GM+S51I4OIGQB1PYLE+SSsqBFCCZJDhjR++35Kp2qn7J0kj6FtFWK+1UdYI/V+vgZJo6NyM4W2opw3fxmhtJoZI2MiZCx5kyTpbzLceGVK1pRapeCnS0wiIuzkIiIAiIgCIiAw1VVT0kXrKqVkTM4BccZPZeKSvo63IpqiOXA3aDvjyWve7RBeKZkMznsLHBzXs5juPmFo0vDFsozh1RUOfjbMwYR5aQFw3W/Xg6XXRBuIOAxFf2UNpq4YWV8b3xMmyBCBu8DHMY5fsrpeiezUUTK+tZJHUyB3s2rY4HM7dM+7suXxY648IcQUdbWyz3GixKKWR8mHt1NLXNJIxkagc9VvcCWjiKn4ap6W0vp7bTSOMs9ZO0STTPO2WsGzWgAAat9s4ChiEqb0WKX7fssSGgpIJ3TwU0Ucjm6S5rADhbC4FLw3K3D66+XSpk6/aiNv0H6rsUtN7MCBPPI08hK/Vj581PO/rRXevszoiLo5CIiAIiIAiIgNG8U0lVQSxxTzQnST9jJoLtuWoDI+WCqbqLfYZah8lXYnSuLdnOuEzyDvvkuGen0V5YDtiMg81Stxj0TyN3GHEc1T5eW8eupsfisGPN2Vr0civfLUWmG2SOnfTQSvkh9ZUanM1ADSCWn3RjIHdSO38f19tpqejpLXRRUsDAyOJr3YwPl+PVcGZ4DQMcvFaUmNQ/VU55eVmpXBwa11LZ4L4pr7/AFk0VTTQRxsaZCWuJI3AAH1UwUA9FcYDax+N9LRn5n9FP1p4adQmz57mxGPM5haQREUpUCIiAIiIAiIgA5qnb+NFxqW9pXfmriVP8UNLLzWNPSZ/5qjzl+lG1+Fertf4RuoduVrBxLx5rLUHDjutdhy8LPlG5TLY9Fw/g6x3iwfmpwoT6LN7ZVu/1Gj8CpstnB/Wj5TnPfIoIiKUqBERAEREAREQDyXLr+HbPcJJJaqghdLI3DpQMP8AqF1EXjSfhnU3UvcvRFZfR7w9I7UYJxsfhncvcPo/4Zic1xt7pSOks73B3mM4P0UnRcrFC9IlfKztads1rfb6K2Qez26khpoc50RMDRnvstlEXZC237CIiHgREQH/2Q==";Tropicale;Modéré;Grande;Rapide;Occasionnel;Facile;Feuillage décoratif;Oui;Verticale
Philodendron hederaceum;Faible;Facile;16-28°C;Moyenne;Oui;Plante grimpante;Feuilles vertes en forme de cœur, toxique;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Philodendron_hederaceum_kz01.jpg/960px-Philodendron_hederaceum_kz01.jpg;Grimpante;Modéré;Moyenne;Rapide;Occasionnel;Facile;Feuillage décoratif;Oui;Grimpante
Philodendron brasil;Moyen;Facile;18-28°C;Moyenne;Oui;Plante grimpante;Feuilles panachées vert-jaune, toxique;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcS9N5gLHHo7wvLc1etTICwIPMPlQE-Ubf2ISkHcnVZcE4mZDrTVvoVV-p0qqHxaXoa-rLM3_0yNa1IHyGCHYGzvkxDvTXGwdC77CX7-LOPL;Grimpante;Modéré;Moyenne;Rapide;Occasionnel;Facile;Feuillage décoratif;Oui;Grimpante
Asplenium nidus;Moyen;Facile;18-26°C;Élevée;Non;Fougère;Fougère nid d’oiseau décorative;https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Asplenium_nidus_003.jpg/960px-Asplenium_nidus_003.jpg;Tropicale;Humide;Moyenne;Moyenne;Occasionnel;Facile;Feuillage décoratif;Oui;Verticale
Neoregelia;Moyen;Moyen;18-26°C;Élevée;Non;Tropicale;Plante broméliacée colorée;https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Neoregelia_compacta.jpg/960px-Neoregelia_compacta.jpg;Tropicale;Humide;Petite;Rapide;Occasionnel;Moyen;Feuillage décoratif;Non;Verticale
Cryptanthus;Moyen;Facile;18-25°C;Élevée;Non;Tropicale;Plante terreau, feuilles colorées;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Cryptanthus_glaziovii.jpg/960px-Cryptanthus_glaziovii.jpg;Tropicale;Humide;Petite;Rapide;Occasionnel;Facile;Feuillage décoratif;Non;Verticale
